1;Fermeture;Usine Doniambo;Travail;Creusage;Droit;;;;;;;;;;;;;
2;Impossible;Indispensable;Gestion;Enjeu;Concurrence;Rationalisation;Entente;Difficile;;;;;;;;;;
4;Rien;Après-nickel;Pollution;Activité;Épuisement;Rebondissement;;;;;;;;;;;;
5;Montagne;Poisson;Dépotoir;Répartition;Rendement;;;;;;;;;;;;;
6;Extraction;Tradition;Repère;Action;Adaptation;Pauvre;;;;;;;;;;;;
7;Arrêt;Nickel;Rivière;Travail;;;;;;;;;;;;;;
8;Environnement;Ressource;Avenir;Pollution;Nouvelle-Calédonie;Vision;;;;;;;;;;;;
9;Pollution;Destruction;Bien - Mal;;;;;;;;;;;;;;;
10;Après-Nickel;Flou;Fermeture;;;;;;;;;;;;;;;
11;Destruction;Nature;Industrie;;;;;;;;;;;;;;;
12;Montagne;Pollution;Après-mine;Projet;;;;;;;;;;;;;;
13;?;;;;;;;;;;;;;;;;;
14;Pollution;International;Économie;Politique;;;;;;;;;;;;;;
15;indépendance;Fournisseur;Conflit;;;;;;;;;;;;;;;
16;Pollution;Végétation;;;;;;;;;;;;;;;;
17;Reboisement;Train;Tourisme;;;;;;;;;;;;;;;
19;Thio;Perenne;Environnement;Ressource;Lagon;Balance;;;;;;;;;;;;
20;Argent;Pollution;;;;;;;;;;;;;;;;
21;Inchangé;Arrêt;Adaptation;Pollution;Emploi;Jeune;;;;;;;;;;;;
22;Après-Mine;Épuisable;Fin;Enfant;Projet;Évolution;Image;;;;;;;;;;;
23;Impact;Bénéfique;Durable;Abîmé;;;;;;;;;;;;;;
24;Déchet;Enfant;;;;;;;;;;;;;;;;
25;Impact;Pollution;Travail;;;;;;;;;;;;;;;
26;Non-renouvelable;Économie;Énergie renouvelable;Nickel;Ressource;;;;;;;;;;;;;
27;Épuisable;Océan;;;;;;;;;;;;;;;;
28;Inchangé;Problème;Pollution;;;;;;;;;;;;;;;
29;Technologie;Demandé;Épuisable;développement;Ressource;Retombée;;;;;;;;;;;;
30;Incertitude;Demande;Bénéfice;Crise;Diversification;Ressource;Montagne;Fin;Environnement;;;;;;;;;
31;Incertain;Âge d’or;Argent;Agriculture;Pollution;Après-Nickel;Enfant;Emploi;Innovation;;;;;;;;;
32;Province Sud;Évolution;Argent;Projet;Politique ;Amélioration;Environnement;;;;;;;;;;;
33;Épuisable;Épuisement;Développement;Destruction;Paysage;Forêt;;;;;;;;;;;;
34;Pollution;déboisement;Nuisance;Expansion;Économie;Association;Tourisme;Développement tribal;Projet;;;;;;;;;
35;Développement;Richesse;Indépendance ;Environnement;Nouveau;;;;;;;;;;;;;
36;Perdition;Pollution;Chômage;Reconnaissance;Indépendance;;;;;;;;;;;;;
37;Bénéfice;Richesse;Usine;développement;Développement durable;Chaîne de production;Acier;Limité;;;;;;;;;;
38;Matériau alternatif;Ressource ;Dégât;Conflit;;;;;;;;;;;;;;
39;Prise de conscience;Alternative;Prony Ressource ;Développement durable;;;;;;;;;;;;;;
41;Amélioration;;;;;;;;;;;;;;;;;
42;Inchangé;Pollution;Incertitude;;;;;;;;;;;;;;;
43;Exploitation;Abandon;Rapidité;Disparition;Inconnu;Malheur;Pollution;Réchauffement climatique ;Récif;;;;;;;;;
44;Rien;Incertitude;Destruction ;Pollution;Montagne;;;;;;;;;;;;;
46;Inchangé;Incertain;Montagne;;;;;;;;;;;;;;;
47;Projection;Négatif;Jeune;Famille ;Culture;Emploi;Enfant;;;;;;;;;;;
49;Fin;Ressource;Société ;Échange ;Employé;Liens ;;;;;;;;;;;;
50;Pire;Association;;;;;;;;;;;;;;;;
51;Espoir;Cyclone;Enfant;Terre;;;;;;;;;;;;;;
52;Conflit;;;;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;;;;;
54;Ressource;Rien;Bâtiment;;;;;;;;;;;;;;;
55;Malhonnêteté;Maléfique;Reconnaissance;Dominance ;Coutumier;Nouvel ordre mondial;Richesse;Redevance;Fermeture;Préjudice;;;;;;;;
56;Revenu;Conflit;Évolution;Environnement;Production;Richesse;Mal-être;Destruction;;;;;;;;;;
57;Fin;Similitude;Évoluer;Économie;Produit chimique;Pollution;;;;;;;;;;;;
58;Disparition;Reboisement;Profit;Enfant;;;;;;;;;;;;;;
59;Grand;;;;;;;;;;;;;;;;;
60;?;Amélioration;Fin;;;;;;;;;;;;;;;
61;Estompage;Économie;Développement;;;;;;;;;;;;;;;
62;Disparition;Non-renouvelable;Travail;Énergie;;;;;;;;;;;;;;
63;Montagne;Chinois;;;;;;;;;;;;;;;;
65;Inchangé;Évolution;;;;;;;;;;;;;;;;
67;Complexe;PIB;Ressource;Déclin;Demande;indépendance;;;;;;;;;;;;
68;Survivre;Vital;Pollution;Besoin;Politique;Emploi;;;;;;;;;;;;
69;Échec;Limité;Technique;Écologie;Développement;SLN;;;;;;;;;;;;
70;Indépendance;Économie;Social;Chinois;Stratégie;;;;;;;;;;;;;
71;Complexe;Impact;Disparition;;;;;;;;;;;;;;;
72;Durable;Reboisement;?;;;;;;;;;;;;;;;
73;Rien;Avenir;Dette;;;;;;;;;;;;;;;
74;Durable;Épuisable;;;;;;;;;;;;;;;;
76;Rentable;Pays;Commerce;;;;;;;;;;;;;;;
77;Évolution;Destruction;;;;;;;;;;;;;;;;
81;Inutile;Développement;Épuisable;Économie;Alternative;Pollution;Cesser;;;;;;;;;;;
82;Pollution;Travail;Sécurité;?;Quota;;;;;;;;;;;;;
83;Dégradation;Épuisé;Dette;Chômage;Réorientation;Reboisement;Immobile;;;;;;;;;;;
84;Transition énergétique;Extraction;Outil;Revégétalisation;Exploitation;Hydrocarbure;Logique;Développement durable;Économie circulaire;Décentralisation;Résilience;;;;;;;
85;Végétation;Reforestation;Appauvrissement;Conflit;;;;;;;;;;;;;;
86;Profit;Gestion;Ressource;Nickel;Emploi;Jeune;Social;Référendum;Polémique;;;;;;;;;
87;Technologie;;;;;;;;;;;;;;;;;
88;Amélioration;Meilleure exploitation;Environnement;;;;;;;;;;;;;;;
89;Régulation;Ressource;Paysage;;;;;;;;;;;;;;;
90;Revenu;Reforestation;;;;;;;;;;;;;;;;
91;Danger;Enjeu;Problème;Évolution;Environnement;Menace;Augmentation;Disparition;Épuisement;Conflit;Production;Désintérêt;Préoccupation;;;;;
92;Disparition;Transformation;Technologie;Développement;Changement;Forme;Évolution;Abandon;Pollution;Rejet;Impact;Épuisement;Ressource;;;;;
93;Dégât;Machine;Main d’oeuvre;Conflit;Écoresponsable;Pollution;Technique;;;;;;;;;;;
94;Utilisation;Obsolescence;Continuation;Mercantile;Rendement;Baisse;Nouveau;Accroissement;Conséquence;Revalorisation;Mouvement;;;;;;;
95;Exploitation;Industrie;Impact;Épuisement;Économie;Profit;Conflit;Métallurgie;Sidérurgie;Métier à risque;Évolution;;;;;;;
96;Maladie;Explosif;Risque;Pollution;Environnement;Tranquilité;Charbon;Or;Écologie;Activité minière;Maladie;Travail;Machine;Emploi;;;;
97;Valeur;Développement durable;Ressource;Pollution;Dégradation;Mécanisation;Emploi;Économie;Réparation;;;;;;;;;
98;Épuisement;Impact;Déforestation;Conflit;enjeu;Économie;Échange;;;;;;;;;;;
99;Pollution;Inexistant;Rendement;Développement;GES;Technologie;Énergie renouvelable;;;;;;;;;;;
100;Épuisement;Rejet;Solution;Projet;Exportation;;;;;;;;;;;;;
101;Raréfaction;Pollution;Ressource;Entreprise;Minerai;Économie;Paysage;;;;;;;;;;;
102;Inexistant;Emploi;Ressource;;;;;;;;;;;;;;;
103;Accessibilité;Garniérite;Pyrométallurgique;Hydrométallurgie;Latérite;Minerai;Exportation;Sous-produit;Batterie;Alternative énergétique;Reboisement;Réhabilitation;Économie durable;;;;;
104;Interrogation;Indépendance;Exploitation;Koniambo;Économie;Nord;Sud;Guerre Civile;Ressource;Reboisement;;;;;;;;
105;Ressource;Développement;Richesse;Pollution;Appauvrissement;Surexploitation;Poussière;Déchet;Sale;;;;;;;;;
106;Stabilité;Politique;Extraction;Sécurité;Population;Richesse;Monde;Stabilité;;;;;;;;;;
107;Environnement;Économie;Importation;Ressource;;;;;;;;;;;;;;
108;Inexistant;Abandon;;;;;;;;;;;;;;;;
109;Paysage;Ressource;;;;;;;;;;;;;;;;
110;Découverte;Épuisement;Pollution;Technologie;;;;;;;;;;;;;;
111;Automatisation;Eau traitée;Empreinte Carbone;Reforestation;Biodiversité;Condition de travail;Inexistant;;;;;;;;;;;
112;;;;;;;;;;;;;;;;;;
113;Plus assez;;;;;;;;;;;;;;;;;
114;Plus rien;;;;;;;;;;;;;;;;;
115;Emploi;Robotisation;Recyclage;Nouvelle mine;Nouveau Minerai;;;;;;;;;;;;;
116;Mine énergétique;Mine matériau;Efficacité;;;;;;;;;;;;;;;
117;Propre;Écologie;Rapide;;;;;;;;;;;;;;;
118;Écologie;Environnement;Automatisation;Local;Ressource;;;;;;;;;;;;;
119;Perte;;;;;;;;;;;;;;;;;
120;Épuisable;Conflit;;;;;;;;;;;;;;;;
121;Point fort;Production;;;;;;;;;;;;;;;;
122;Inchangé;Disparition;Robot;;;;;;;;;;;;;;;
123;Disparition;Évolution;;;;;;;;;;;;;;;;
124;Épuisé;Ressource;Pollution;Travail;Usine;;;;;;;;;;;;;
125;Nickel;Abondance;Argent;Disparition;Fonds pour les générations futures;Environnement;;;;;;;;;;;;
126;Ressource;Mine;Rare;Valeur;Rien;Conflit;;;;;;;;;;;;
127;Épuisé;Richesse;Destruction;Expulsion;Évolution;Pollution;;;;;;;;;;;;
128;Danger;Finance;Problème;Travail;Dégât;Pollution;Environnement;;;;;;;;;;;
129;Développement;Conflit;Emploi;Diversification;;;;;;;;;;;;;;
130;Pollution;Rachat;;;;;;;;;;;;;;;;
131;Incertain;Emploi;Chômage;Problème;;;;;;;;;;;;;;
132;Vide;Changement;Reforestation;Abandon;Nouveau minerai;Industrialisation;Automatisation;;;;;;;;;;;
133;Avantage;Population;Conflit;Zone de travail;Industrie;Économie;Développement;Exploitation;Exportation;;;;;;;;;
134;Fin;Pauvre;Vide;Pollution;Chômage;Perdre;Changement;;;;;;;;;;;
135;Nouvelle technologie;Progrès;Automate;Richesse;;;;;;;;;;;;;;
136;Faillite;Pollution;;;;;;;;;;;;;;;;
137;Travail;Évolution technologique;Évolution écologique;;;;;;;;;;;;;;;
138;;;;;;;;;;;;;;;;;;
139;Épuisement;Conflit;;;;;;;;;;;;;;;;
140;Grandir;Procédé;Montagne;Maladie;Référendum;Chine;;;;;;;;;;;;
141;Technologie;Ressource;Mineur;Bruyant;Carrière;Environnement;;;;;;;;;;;;
142;Travail;Sécurité;Chômage;Augmentation;Économie;Changement;Esprit d’équipe;;;;;;;;;;;
143;Projet;Avantage;Croissance économique;Capitale;Environnement;Dégradation;;;;;;;;;;;;
144;Argent;;;;;;;;;;;;;;;;;
145;Moderne;Pollution;Argent;;;;;;;;;;;;;;;
146;Pollution;Végétation;Diversité;Montagne;Paysage;Développement;;;;;;;;;;;;
147;Protection;Pollution;Respect;Richesse;Peuple;Nature;Aide;Conflit;Sécurité;;;;;;;;;
148;Chômage;Ralentissement;Activité;Insécurité;;;;;;;;;;;;;;
149;Épuisement;Fin;Écologie;Présence;Emploi;Pollution;Reboisement;Revégétalisation;;;;;;;;;;
150;Pollution;;;;;;;;;;;;;;;;;
151;Technologie;Disparition;Pollution;;;;;;;;;;;;;;;
152;;;;;;;;;;;;;;;;;;
153;Persiste;Asséché;Vide;Abandon;Pollution;Environnement;Écosystème;Décharge;Remontée de gaz;Fin;;;;;;;;
154;Pollution;Technologie;Formation;International;Emploi;Partenariat;;;;;;;;;;;;
155;Présente;Fin;Rare;Impact;;;;;;;;;;;;;;
156;Reboisement;Procédé;Valorisation;Traitement;;;;;;;;;;;;;;
157;Évolution;Autonomie;Organisation;Employé;Nouvelle machine;;;;;;;;;;;;;
158;Lumineux;Robotisation;Actif;Ressource;Épuisement;Découverte;Caillou;;;;;;;;;;;
159;Exploitation;Traitement;Revente;Exportation;Indispensable;Compagnie;Métier;Robot;Environnement;;;;;;;;;
160;Automatisation;Indépendance;Modernisation;Rentable;Emploi non-qualifié;Appauvrissement;;;;;;;;;;;;
161;Montagne;Emploi;Pollution;Nickel;Structure;;;;;;;;;;;;;
162;Écologie;Environnement;Emploi;Santé;Économie;Raisonnable;Respect;;;;;;;;;;;
163;Minerai;Déforestation;Défaitiste;;;;;;;;;;;;;;;
164;Écologique;Respectueux;Énergie renouvelable;;;;;;;;;;;;;;;
165;Reforestation;Emploi;Épuisable;Énergie  verte;;;;;;;;;;;;;;
166;Durable;Vert;Écologique;Naturel;;;;;;;;;;;;;;
167;Manque;Perte;Évolution;;;;;;;;;;;;;;;
168;Réhabilitation;Rendement;;;;;;;;;;;;;;;;
169;Écologie;Technologie;Reforestation;;;;;;;;;;;;;;;
170;Impact écologique;Conflit;Déforestation;Emploi;Chômage;Évolution;Travail;Amélioration;;;;;;;;;;
171;Inexploitable;;;;;;;;;;;;;;;;;
172;Environnement;Efficace;Surexploitation;;;;;;;;;;;;;;;
173;Exportation;Impact;;;;;;;;;;;;;;;;
174;Impact;Économie;Extinction;Disparition;Important;;;;;;;;;;;;;
175;Politique;Écologique;Pollution;Égoïste;Matérialiste;;;;;;;;;;;;;
176;Instabilité;Déclin;Crise;Environnement;Conflit;;;;;;;;;;;;;
177;Impact;Reforestation;;;;;;;;;;;;;;;;
178;Insécurité;Progrès;Environnement;Échange international;Emblématique;Autosuffisant;;;;;;;;;;;;
179;Pollution;Épuisable;;;;;;;;;;;;;;;;
180;Exportation;Richesse;Environnement;Chine;;;;;;;;;;;;;;
181;Écoresponsable;Anti-pollution;Surexploitation;Indépendance;Ouvrier;Machine;;;;;;;;;;;;
182;Économie;Environnement;Métier;Richesse;;;;;;;;;;;;;;
183;Épuisable;Environnement;Déforestation;;;;;;;;;;;;;;;
184;Investissement;Recherche géologique;Technique;Respect environnemental;;;;;;;;;;;;;;
185;Vale;KNS;SLN;Embargo;;;;;;;;;;;;;;
186;Ressource;Respectueux;Bénéfique;Juste;;;;;;;;;;;;;;
187;Épuisement;Pollution;;;;;;;;;;;;;;;;
188;Épuisement;;;;;;;;;;;;;;;;;
189;Perte;Conflit;Développement;Ouverture;Basculer;Impact;;;;;;;;;;;;
190;Indépendance;International;Importation;Exportation;;;;;;;;;;;;;;
191;PIB;Impact;Emploi;;;;;;;;;;;;;;;
192;Éphémère;Impact;;;;;;;;;;;;;;;;
193;Exploitation;Ressource;;;;;;;;;;;;;;;;
194;Épuisement;Économie;Pollution;;;;;;;;;;;;;;;
195;Conflit;Épuisement;Diminution;Recherche;Innovation;Intérêt;;;;;;;;;;;;
196;Fin;;;;;;;;;;;;;;;;;
197;Développer;Ouvrier;Technologie;Découverte;;;;;;;;;;;;;;
198;Robot;Technologie;Machine;;;;;;;;;;;;;;;
199;Obsolète;Abus;Incertain;Remplaçable;;;;;;;;;;;;;;
200;Technologie;Condition de travail;Limité;;;;;;;;;;;;;;;
201;Robotisation;Pollution;Richesse;;;;;;;;;;;;;;;
202;Responsabilité;Problème;;;;;;;;;;;;;;;;
203;Pollution;Emploi;Surface;Exploitation;Économie;Terre;Ressource;;;;;;;;;;;
204;Vide;Surexploitation;;;;;;;;;;;;;;;;
205;Environnement;Durable;Gestion;Dégradation;Pollution;;;;;;;;;;;;;
206;Asséché;Secondaire;Vieillot;;;;;;;;;;;;;;;
207;Avenir;Vol;;;;;;;;;;;;;;;;
208;Écologique;Pollution;Travail;Ressource;Sécurité;Horaire;;;;;;;;;;;;
209;Dégât;Économie;Tension;Travailleur;Bien-être;Santé;;;;;;;;;;;;
210;Développement;Infrastructure;Site minier;Dégât;;;;;;;;;;;;;;
211;Pollution;Reconversion;Économie;Emploi;Formation;Enjeu;Batterie;CAFAT;Politique;Minerai;Scorie;Caillou;Impact;Enfant;Conscience;Nature;Paix;
212;Ressource;Minerai;Extraction;Nature;Robotisation;Emploi;;;;;;;;;;;;
213;Schéma minier;Titre minier;Fédération;Uniformisation;Fonds souverain;Diversification;Bourse;Enquête;Diagnostic;Valorisation;Développement;;;;;;;
214;Reconversion;Scorie;Avenir;Abondance;Procédé;Produit fini;Pollution;Économie;Formation;;;;;;;;;
215;Durable;Avenir;Atout;Amélioration;Opportunité;Développement;;;;;;;;;;;;
216;Cessation;Plantation;Partage;;;;;;;;;;;;;;;
217;Produit fini;Impact;Richesse;Enjeu;Batterie;Politique;Avenir;Remboursement;;;;;;;;;;
218;Fini;Innovation;Investissement;Coopération;Développement durable;Décroissance;Richesse;Économie sociale et solidaire;Reconversion;Réappropriation;Adaptation;Égalité;Formation;Conscience environnementale;Implication;;;
219;Dégradation;Pollution;Économie;Technologie;;;;;;;;;;;;;;
220;Reforestation;Formation;Reconversion;Atout;Enfant;Produit fini;Usine;Conflit;Durable;Diagnostic;;;;;;;;
221;Automatisation;;;;;;;;;;;;;;;;;
222;;;;;;;;;;;;;;;;;;
223;Épuisé;Pollué;;;;;;;;;;;;;;;;
224;Pollution;Paysage;Emploi;;;;;;;;;;;;;;;
225;Environnement;Emploi;Stage;Exploitation;Recherche;Conservation;Infrastructure;;;;;;;;;;;
226;Ressource;Pareil;;;;;;;;;;;;;;;;
227;Échange;Commerce;Économie;Potentiel;Évolution;Enrichissement;;;;;;;;;;;;
228;Développer;Avenir;Mixte;Multiculturel;;;;;;;;;;;;;;
229;Amélioration;Employé;Désaccord;Conflit;Pollution;Épuisement;;;;;;;;;;;;
230;Usine;Ruine;Contrainte;Multinationale;Convoitise;Chine;Capitalisme;Dégradation;;;;;;;;;;
231;Ralentissement;Nature;Reforestation;Emploi;PIB;;;;;;;;;;;;;
232;Dégradation;Environnement;Personne;Argent;Individuel;Maison;Emploi;;;;;;;;;;;
233;Aucune;Développement durable;Reboisement;Emploi;Formation;Bourse scolaire;Énergie renouvelable;Gestion;Réparation;Déprivatisation;;;;;;;;
234;Après-exploitation;Reboisement;Étude d’impact;Prévention;;;;;;;;;;;;;;
235;Ressource;Économie;Changement;Retrait;Non durable;Tension;Réaménagement;Environnement;Développement durable;Pollution;Déforestation;;;;;;;
236;Nouvelle technique;Épuisement;Aménagement;;;;;;;;;;;;;;;
237;Destruction;Forestation;Pollution;Environnement;Richesse;Emploi;;;;;;;;;;;;
238;Diminution;Commerce extérieur;Épuisable;;;;;;;;;;;;;;;
239;Innovation;Liquidation;Destruction;Pollution;Économie;;;;;;;;;;;;;
240;Désastre;Réchauffement climatique;;;;;;;;;;;;;;;;
241;Éphémère;Revenu;Utile;;;;;;;;;;;;;;;
242;Carence;Mondialisation;Frein;Essor;;;;;;;;;;;;;;
243;Récif;Montagne;Problème;Travail;Reforestation;;;;;;;;;;;;;
244;Indépendance;Valorisation;Emploi;Changement;Changement total;Économie;;;;;;;;;;;;
245;Problème;Crise économique;Crise emploi;Pollution;Paysage;;;;;;;;;;;;;
246;Montagne;Pollution;Assèchement;Économie verte;Après-nickel;;;;;;;;;;;;;
247;Pollution;Vert;Arrêt;Transition écologique;;;;;;;;;;;;;;
248;Pollution;Nickel;Nickel;;;;;;;;;;;;;;;
249;Technologie;Propreté;Surconsommation;Consommation écologique;Véhicule;Robot;Ressource;Foreuse;Électronique;Drone;International;;;;;;;
250;Pénuri;Destruction;Disparition;Emploi;Nouvelle technologie;;;;;;;;;;;;;
251;Propre;Énergie renouvelable;Production propre;Exploitation raisonnée;;;;;;;;;;;;;;
252;Déchet;Plantation;Retombée;;;;;;;;;;;;;;;
253;Crayon;Destruction;Pollution;Mondialisation;Mafia;;;;;;;;;;;;;
254;Revalorisation;Nouveau procédé;Identification;Restructuration;Délocalisation;Bénéfice;Performance;Revégétalisation;Découverte;;;;;;;;;
255;Pollution;Division;Destruction;Environnement;Déforestation;Futur;;;;;;;;;;;;
256;Batterie;Reboisement;;;;;;;;;;;;;;;;
257;Paysage;Bourse;lithium;Richesse;;;;;;;;;;;;;;
258;Crise économique;Progrès technique;Épuisé;Pollution;Promesse d’embauche;Eramet;Croissance;Chine;USOENC;Exportation;Grève;Salaire;Endettement;Prime;;;;
259;Désaccord;Économie;Conflit;Épuisé;Défaillance;;;;;;;;;;;;;
260;Impact;Technologie;;;;;;;;;;;;;;;;
261;Fin;Économie;;;;;;;;;;;;;;;;
262;Automatisé;Épuisable;;;;;;;;;;;;;;;;
263;Évolution technologique;;;;;;;;;;;;;;;;;
264;Épuisé;Dégât;Crise économique;;;;;;;;;;;;;;;
265;Progrès technique;Cours;Ressource;Diversification;Reboisement;Musée;Tourisme;Sentier touristique;Purification;Taxe;Interdiction;CO2;Maintenance;Emploi;Formation;Fonds souverain;Laboratoire;Scientifique
266;Limité;Insuffisant;;;;;;;;;;;;;;;;
267;Nickel;Chômage;Montagne;Reboisement;Économie;Richesse;;;;;;;;;;;;
268;Pollution;Destruction;Emploi;;;;;;;;;;;;;;;
269;Engin;Pollution;Épuisement;;;;;;;;;;;;;;;
270;Évolution technologique;Renforcement;Performant;Durable;Technologie;Écosystème;Économie verte;Nouveauté;;;;;;;;;;
271;Robot;Ressource;Destruction;;;;;;;;;;;;;;;
272;Aucune;Arrêt;Néfaste;;;;;;;;;;;;;;;
273;Ressource;Surexploitation;Valeur;Avenir;;;;;;;;;;;;;;
274;Robot;Technologie;Rapide;Caillou;Qualité;Pollution;Destruction;Argent;;;;;;;;;;
275;Technologie;Technicien;Machine;Précision;Paysage;Environnement;Production;Exportation;Exploitation;Manifestation;;;;;;;;
276;Invention;Progrès;Danger;Utile;Pessimiste;Nouveau;;;;;;;;;;;;
277;Surexploitation;Dégradation;Néant;Pessimisme;Humain;Main d’oeuvre;;;;;;;;;;;;
278;Voiture;Valeur économique;Polluant;Réorganiser;Vert;Écologie;20 ans;Réalisation;Aménagement;Véridique;Voiture hybride;;;;;;;
279;Positive;Aménagement;Robot;Mer;Rivière;Pollution;;;;;;;;;;;;
280;Technologie;Robot;Automatisation;Pollution;Réflexion;Personnel humain;Disparition;;;;;;;;;;;
281;Exploitation;;;;;;;;;;;;;;;;;
